Date,Open,High,Low,Close    Close price adjusted for splits.,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
Oct 28 2020,23175.0,23177.0,22840.9512,23175.0,23175.0,-
Oct 27 2020,22839.9805,23176.0,22839.9805,23175.0,23175.0,-
Oct 26 2020,23177.0,23177.0,22836.2148,23176.0,23176.0,-
Oct 23 2020,23177.0,23180.0,22842.0176,23176.0,23176.0,-
Oct 22 2020,22865.8496,23179.0,22845.0645,23177.0,23177.0,-
Oct 21 2020,23179.0,23180.0,22838.8574,23179.0,23179.0,-
Oct 20 2020,22819.9727,23179.0,22787.4609,23175.0,23175.0,-
Oct 19 2020,23175.0,23177.0,22836.6504,23175.0,23175.0,-
Oct 16 2020,23170.0,23180.0,22850.5566,23170.0,23170.0,-
Oct 15 2020,23175.0,23177.0,22806.9512,23175.0,23175.0,-
Oct 14 2020,23177.0,23177.0,22835.1328,23177.0,23177.0,-
Oct 13 2020,23178.0,23181.0,22833.7285,23178.0,23178.0,-
Oct 12 2020,23180.0,23190.0,22843.4082,23180.0,23180.0,-
Oct 9 2020,23191.0,23205.0,22848.6934,23191.0,23191.0,-
Oct 8 2020,23205.0,23205.0,22853.6699,23205.0,23205.0,-
Oct 7 2020,23205.0,23205.0,22862.5117,23205.0,23205.0,-
Oct 6 2020,22788.3535,23206.0,22788.3535,23203.0,23203.0,-
Oct 5 2020,23191.0,23203.0,22858.625,23191.0,23191.0,-
Oct 2 2020,23188.0,23194.0,22853.7266,23188.0,23188.0,-
Oct 1 2020,23181.0,23188.0,22823.9121,23181.0,23181.0,-
Sep 30 2020,23190.0,23190.0,22848.1855,23190.0,23190.0,-
Sep 29 2020,23188.0,23190.0,22814.0273,23188.0,23188.0,-
Sep 28 2020,23191.0,23191.0,22842.6875,23191.0,23191.0,-
Sep 25 2020,23184.0,23195.0,22793.793,23184.0,23184.0,-
Sep 24 2020,22914.0527,23185.0,22831.0703,23185.0,23185.0,-
Sep 23 2020,23177.0,23185.0,22997.3027,23177.0,23177.0,-
